IDNumber	Author	Title	PublishingDetails	Note	firmsIndividualsIndex	Location	featherid
179	Toms, Elsie.	The 'schoolmaster printer'.	Black Art, 3 (1964), 19.	NULL	NULL	Hertfordshire	238
180	Norris, Herbert E.	Notes on St Neot's printers.	St Neots: St Neots Advertiser, 1901.	NULL	NULL	Huntingdonshire	239
181	Crouch, Marcus, ed.	A book of Kent made by the printers of Kent.	Tenterden: Paul Norbury Publications, 1976.	NULL	NULL	Kent	240
182	Plomer, H. R.	The libraries and bookshops of Canterbury.	BAR 14 (1917), i-vii.	NULL	NULL	Kent	241
183	Plomer, H. R.	James Abree, printer and bookseller, of Canterbury.	Libr., 3rd ser., 4 (1913),46-56.	NULL	Abree, James	Kent	242
184	NULL	250th anniversary pictorial souvenir 1717-1967.	Kentish Gazette, 20 Oct 1967.	Note: See also Madden and Dixon, 1147-49.	Kentish Gazette, The	Kent	243
185	Cock, William F.	The Kentish Post or The Canterbury Newsletter.	Libr., 3rd ser., 4 (1913), 285-90.	NULL	Kentish Post, The	Kent	244
185A	Zell, Michael L.	An early press in Canterbury?	Libr., 5th ser., 32 (1977), 155-56.	NULL	Mychell, John	Kent	245
185B	Hobbs, J. E.	An early press in Canterbury.	Libr., 5th ser., 33 (1978), 172.	NULL	Mychell, John	Kent	246
186	Arnold, George M.	Robert Pocock, the Gravesend historian, naturalist, antiquarian, botanist, and printer.	London: Samson, Low, 1883.	NULL	Pocock, Robert	Kent	247
187	NULL	150th anniversary number.	Kent Messenger Gazette, 5 Jan 1965.	Note: See also Madden and Dixon 1227	Maidstone Gazette, The	Kent	248
188	Moran, James.	Henry George. Printer, bookseller, stationer and bookbinder, Westerham, 1830-c.1846.	Westerham, 1972.	NULL	George, Henry	Kent	249
189	NULL	Centenary issue.	Kentish Observer, 7 Jul 1932.	NULL	Kentish Observet, The	Kent	250
190	Hawkes, A. J.	Lancashire printed books. A bibliography of all the books printed in Lancashire down to the year 1800.	Wigan: Wigan Public Libraries Committee, 1925.	NULL	NULL	Lancashire	251
191	NULL	Lancashire Bibliography.	In Earwaker, J.P. Local gleanings related to Lancashire and Cheshire, vol. I (Manchester, 1875), Â§ 49,65,75,77,81,88,98-99,107,113,115,131-32,137, 153-54, 214-15, 254-55, 407.	NULL	NULL	Lancashire	252
192	Hawkes, Arthur J.	The Birchley Hall secret press.	Libr., 4th ser., 7 (1927), 137-83.	NULL	NULL	Lancashire	253
193	Newdigate, C. A.	Birchley - or St Omers?	Libr., 4th ser., 7 (1927), 303-20.	NULL	NULL	Lancashire	254
194	Scholes, James C.	Bolton bibliography, and jottings of booklore: with notes on local authors and printers.	Manchester: Henry Gray, 1886.	NULL	NULL	Lancashire	255
195	Sparke, Archibald.	Bibliographia Boltonensis.	Manchester: Manchester University Press, 1913.	NULL	NULL	Lancashire	256
196	-	Bolton authors and Bolton books.	BAR, 12 (1915), xxxix-xliv.	NULL	NULL	Lancashire	257
197	Singleton, Frank.	Tillotsons 1850-1950.	Bolton: Tillotson & Son Ltd., 1950.	NULL	Tillotsons	Lancashire	258
198	NULL	Centenary supplement 1837-1937.	Lancaster Guardian, 29 Jan 1937.	NULL	Lancaster Guardian, The	Lancashire	259
199	Arkle, A. H.	EarIy Liverpool printers.	Trans. Historic Soc. of Lancashire and Cheshire, 68 (1917), 73-84.	NULL	NULL	Lancashire	260
200	Clarke, D.	The local newspaper press and local politics in Manchester and Liverpool 1760-1800.	Trans. Lancashire and Cheshire Antiq. Soc., 73/74 (1966), 101-23.	NULL	NULL	Lancashire	261
201	Dawson, Thomas.	The pamphlet literature of Liverpool.	Lancashire and Cheshire Historic Soc., new ser., 5 (1865), 73-138.	NULL	Dawson, Thomas	Lancashire	262
202	May, S. William.	Literature and libraries in Liverpool.	BAR, 6 (1908-.09), xlix-lii.	NULL	NULL	Lancashire	263
203	Mott, J. Albert.	On books published in I.iverpool.	Trans. Historic Soc. of Lancashire and Cheshire, new ser., 1 (1861), 103-66.	NULL	NULL	Lancashire	264
330	Rotherham, Albert, and Steele, Maurice.	A history of printing in North Staffordshire.	Stoke-on-Trent: North Staffordshire Polytechnic, 1975.	NULL	NULL	Staffordshire	265
331	Simms, R.	Bibliotheca Staffordiensis.	Lichfield, 1894.	NULL	NULL	Staffordshire	266
332	Reade, Aleyn Lyell.	Johnsonian gleanings. 11pt.	London: The Author, 1909-52.	Notes: Pt. 8, 161-62; Pt. 9, 93-94.	Bailye, William	Staffordshire	267
333	Reade, Aleyn Lyell.	Johnsonian gleanings. 11 pt.	London: The Author, 1909-52.	Notes: The more important references to Johnson's trade activities are: Pt. 1, 2, 18, 25-27; Pt. 3, 1-50, 164-81; Pt. 4,2-38,201-03; Pt. 8,26-57; Pt. 10, 1-32,161-69,182-83,191-92,195-96. For a full list of references in Pt. 1-10, see Pt. 11, 273.	NULL	Staffordshire	268
334	Whiston, J. W.	Some letters and accounts of Michael Johnson.	Trans. Johnson Soc., (1974), 31-51.	NULL	NULL	Staffordshire	269
335	Lawley, George T.	The bibliography of Wolverhampton.	Bilston, 1890.	NULL	Johnson, Michael	Staffordshire	270
336	Mander, Gerald Poynter.	Early Wolverhampton books and printers.	Wolverhampton:Whitehead Brothers, 1922.	NULL	Johnson, Michael	Staffordshire	271
337	Moran, James	Clays of Bungay.	Bungay: Richard Clay & Sons Ltd., 1978. Ipswich	NULL	Clay, Richard, and co.,	Suffolk	272
338	Watson, S. F.	Some materials for a history of printing and publishing in Ipswich	Proc. Suffolk Inst. of Arch. and Natural History, 24 (1949), 182-227.	NULL	NULL	Suffolk	273
339	Oldham, J. B.	An Ipswich master-stationer's tiff with his journeyman.	TCBS, 2 (1958), 381-84.	NULL	Craighton, William	Suffolk	274
340	Beck, F. G. M.	A new Ipswich book of 1548.	Libr., 2nd ser., 10 (1949), 86-89.	NULL	Oswen, John	Suffolk	275
341	Piper, A. Cecil.	The booksellers and printers of Richmond, Surrey.	Libr., 4th ser., 13 (1933),201-07.	NULL	NULL	Surrey	276
342	Piper, A. Cecil.	Contributions to the history of printing in Sussex.	BAR, 13 (1916), i-iv.	NULL	NULL	Sussex	277
343	-	Notes on the introduction of printing into Sussex up to the year 1850; with a chronology of Sussex printers to that date.	Libr., 3rd ser., 5 (1914), 257-65.	NULL	NULL	Sussex	278
344	-	Private printing presses in Sussex.	Libr., 3rd ser., 5 (1914), 70-79.	NULL	NULL	Sussex	279
345	-	150 years ago - the first Gazette.	Brighton and Hove Gazette, 26 Feb 1971, p.7	NULL	Birghton Gazette, The	Sussex	280
346	-	150th birthday issue.	Brighton and Hove Herald, 8 Sep 1956.	NULL	Brighton Herald, The	Sussex	281
347	Godrnan, Stanley	A collection of Lewes handbills, 1768-1777.	Sussex Arch. Collections, 97 (1959), 58-68.	NULL	NULL	Sussex	282
348	-	Centenary Supplement.	Sussex Express; 11 Jun 1937.	NULL	Sussex Agricultural Express, The	Sussex	283
349	Beckett, Arthur.	The first Sussex newspaper.	Sussex County Magazine, 15 (1941), 247-54.	NULL	Sussex Weekly Advertiser, The	Sussex	284
350	Morgan, Paul.	Warwickshire printers' notices 1799-1866.	Stratford-upon-Avon: Dugdale Society, vol. 28, 1970.	NULL	NULL	Warwickshire	285
351	-	Warwickshire apprentices in the Stationers' Company of London, 1563-1700.	Stratford-upon-Avon: Dugdale Society, occasional papers, 25, 1978.	NULL	NULL	Warwickshire	286
352	Briggs, Asa.	Press and public in early nineteenth-century Birmingham.	Stratford-upon- Avon: Dugdale Society, occasional papers, 8, 1949.	NULL	NULL	Warwickshire	287
353	Hill, Joseph.	The book makers of old Birmingham.	Birmingham, 1907.	NULL	NULL	Warwickshire	288
354	Jenkins, Nesta.	Printing in Birmingham in the eighteenth century: a bibliography with biographical notes on printers.	Library Association Fellowship thesis, 1973.	NULL	NULL	Warwickshire	289
355	Jones, Trevor.	Street literature in Birmingham: a history of broadside and chapbook.	Oxford: Oxford Polytechnic, 1970.	NULL	NULL	Warwickshire	290
356	Walker, Benjamin.	Birmingham directories.	Birmingham Arch. Soc. Trans. and Proc., 58 (1937), 1-36.	NULL	NULL	Warwickshire	291
357	NULL	200 years of the Birmingham Gazette.	Birmingham Gazette, 17 Nov 1941, p. 2.	NULL	Aris's Birmingham Gazette	Warwickshire	292
358	Bennett, William.	John Baskerville, the Birmingham printer.	2 vols., Birmingham, 1937-39.	NULL	Baskerville, John	Warwickshire	293
359	Benton, Josiah Henry	John Baskerville, typefounder and printer, 1706-1775.	Boston, Mass., 1914.	NULL	Baskerville, John	Warwickshire	294
360	Bockwitz, Hans H.	Baskerville in letters.	Birmingham: Birmingham School of Printing, 1933.	NULL	Baskerville, John	Warwickshire	295
204	Shaw, George T., and Shaw, Isabella.	Liverpool's first directory.	Liverpool: Henry Young and Sons, 1907.	Note: A facsimile reprint with introduction, of Gore's Directory for 1766. George T Shaw also edited reprints of the issues for 1767, 1769, 1773, and 1774. For detail, sees Jane E. Norton, Guide to the national and provincial directories of England and Wales, excluding London, published before 1856. London: Royal Historical Society, 1950, nos. 436-40.	Gore, John	Lancashire	296
205	Wardle, Arthur C.	John Gore, publisher.	Trans. Historic Soc. of Lancashire and Cheshire, 97 (1946), 223-24.	NULL	Gore, John	Lancashire	297
206	NULL	The Liverpool Courier: retrospect and present position.	Liverpool: Liverpool Courier, 1908.	Note: See also Madden and Dixon 1191-93.	Liverpool Courier, The	Lancashire	298
207	NULL	The centenary of the Liverpool Post and Mercury: a record of the progress of Liverpool and its leading newspaper.	Liverpool: Liverpool Post and Mercury, 1911.	NULL	Liverpool Mercury, The	Lancashire	299
208	NULL	Manchester bibliography. In Earwaker, J.P. Local gleanings related to Lancashire and Cheshire, vol. 1	(Manchester, 1875), Â§ 1 15, 131, 214, 339.	NULL	NULL	Lancashire	300
209	Earwaker, J. P.	Notes on the early booksellers and stationers of Manchester prior to the year 1700.	Trans. Lancashire and Cheshire Antiq. Soc., 6 (1888), 1-26.	NULL	NULL	Lancashire	301
210	NULL	The Manchester press before 1801.	Manchester: Manchester Public Libraries, occasional lists, new ser., 6, 1931.	NULL	NULL	Lancashire	302
211	Read, Donald.	Press and people, 1790-1850: opinion in three English cities.	London: Edward Arnold, 1961.	Note: The cities are Manchester, Leeds, and Sheffield.	NULL	Lancashire	303
212	Sutton, C. W.	Manchester libraries and booksellers.	BAR, 6 (1908-09), lxv-lxxi	NULL	NULL	Lancashire	304
213	Ayerst, David.	The Guardian: biography of a newspaper.	London: Collins, 1971.	NULL	Manchester Guardian, The	Lancashire	305
214	Spencer, J. H.	Preston's early newspapers.	Preston Herald, 30 Dec 1949, 18 Aug 1950.	NULL	NULL	Lancashire	306
215	NULL	Centenary number.	Southport Visiter, 6 May 1944.	Note: See also Madden and Dixon 1548.	Southport Visiter, The	Lancashire	307
216	Twyman, Michael.	John Soulby, printer, Ulverston.	Reading: Department of Typography, Reading University, 1966.	NULL	Soulby, John	Lancashire	308
217	Rylands, W. Harry.	Booksellers and stationers in Warrington, 1639 to 1657, with a full list of a stationer's shop there in 1647.	Trans. Historic Soc. of Lancashire and Cheshire, 37 (1888), 67-115.	NULL	NULL	Lancashire	309
218	Barnes, R.	The Midland Counties Illuminator: a Leicester Chartist journal.	Trans. Leicestershire Arch. and Historical Soc., 35 (1959), 68-77.	NULL	Midland Counties Illuminator, The	Leicestershire	310
219	Corns, A. R.	Lincolnshire libraries and literature.	BAR, 7 (1909-10), xii-xiv.	NULL	NULL	Lincolnshire	311
220	Robinson, Lionel.	Boston's newspapers.	Boston: Richard Key Publications, 1974.	NULL	NULL	Lincolnshire	312
221	English, J. S.	Some Gainsborough printers.	Gainsborough, 1964.	NULL	NULL	Lincolnshire	313
222	-	Books and libraries in Gainsborough.	LAR, 70 (1968), 62-65.	NULL	NULL	Lincolnshire	314
223	NULL	One hundred years.	Lincolnshire Chronicle, (Apr 1933), 3-9.	NULL	Lincolnshire Chronicle, The	Lincolnshire	315
224	Axon, W. E. A.	The aetheist converted. The first book printed in Lincoln.	Libr., 3rd ser., 2 (1911), 319-22.	NULL	Wood, William	Lincolnshire	316
225	Goulding, Richard W.	Notes on the Louth printers and booksellers of the eighteenth century.	Louth, 1917.	NULL	NULL	Lincolnshire	317
226	NULL	Centenary number.	Lincolnshire, Boston and Spalding Free Press, 6 Oct 1947.	NULL	Spalding Free Press, The	Lincolnshire	318
227	Appleyard, S.	The Lincoln, Rutland and Stamford Mercury.	Lincolnshire Life, 5:3 (June/July 1965), 56-57, 81.	NULL	Lincoln, Rutland, and Stamford Mercury, The	Lincolnshire	319
